Elig_status,Zipcode,Count Of Family/Child Information,City,County
1,73003,1,Edmond,Oklahoma
,73007,,Arcadia,Oklahoma
1,73008,5,Bethany,Oklahoma
2,73008,2,Bethany,Oklahoma
1,73012,1,Edmond,Oklahoma
1,73013,1,Edmond,Oklahoma
2,73013,1,Edmond,Oklahoma
1,73020,1,Choctaw,Oklahoma
,73025,,Edmond,Oklahoma
1,73034,1,Edmond,Oklahoma
2,73036,1,El Reno,Canadian
,73045,,Harrah,Oklahoma
,73049,,Jones,Oklahoma
,73054,,Luther,Oklahoma
1,73064,1,Mustang,Canadian
,73066,,Nicoma Park,Oklahoma
2,73071,1,Norman,Cleveland
2,73072,1,Norman,Cleveland
,73083,,Edmond,Oklahoma
1,73084,4,Spencer,Oklahoma
,73097,,Wheatland,Oklahoma
2,73101,1,Oklahoma City,Oklahoma
,73102,,Oklahoma City,Oklahoma
,73103,,Oklahoma City,Oklahoma
2,73104,1,Oklahoma City,Oklahoma
1,73105,3,Oklahoma City,Oklahoma
2,73105,3,Oklahoma City,Oklahoma
1,73106,2,Oklahoma City,Oklahoma
2,73106,1,Oklahoma City,Oklahoma
1,73107,10,Oklahoma City,Oklahoma
1,73108,15,Oklahoma City,Oklahoma
2,73108,3,Oklahoma City,Oklahoma
1,73109,6,Oklahoma City,Oklahoma
2,73109,4,Oklahoma City,Oklahoma
1,73110,6,Oklahoma City/Midwest City,Oklahoma
2,73110,3,Oklahoma City/Midwest City,Oklahoma
1,73111,7,Oklahoma City,Oklahoma
2,73111,5,Oklahoma City,Oklahoma
1,73112,7,Oklahoma City,Oklahoma
2,73112,2,Oklahoma City,Oklahoma
,73113,,Oklahoma City,Oklahoma
1,73114,5,Oklahoma City,Oklahoma
2,73114,1,Oklahoma City,Oklahoma
1,73115,8,Oklahoma City/Del City,Oklahoma
2,73115,4,Oklahoma City/Del City,Oklahoma
,73116,,Oklahoma City/Nichols Hills,Oklahoma
1,73117,5,Oklahoma City,Oklahoma
2,73117,6,Oklahoma City,Oklahoma
1,73118,4,Oklahoma City,Oklahoma
1,73119,22,Oklahoma City,Oklahoma
2,73119,5,Oklahoma City,Oklahoma
1,73120,4,Oklahoma City/Nichols Hills/The Village,Oklahoma
2,73120,1,Oklahoma City,Oklahoma
,73121,,Oklahoma City/Forest Park/Lake Aluma,Oklahoma
1,73122,3,Oklahoma City/Warr Acres,Oklahoma
2,73122,1,Oklahoma City/Warr Acres,Oklahoma
,73123,,Oklahoma City/Warr Acres,Oklahoma
,73124,,Oklahoma City,Oklahoma
,73125,,Oklahoma City,Oklahoma
,73126,,Oklahoma City,Oklahoma
1,73127,10,Oklahoma City,Oklahoma
2,73127,4,Oklahoma City,Oklahoma
1,73128,1,Oklahoma City,Oklahoma
1,73129,14,Oklahoma City,Oklahoma
2,73129,2,Oklahoma City,Oklahoma
1,73130,2,Oklahoma City/Midwest City,Oklahoma
,73131,,Oklahoma City,Oklahoma
1,73132,10,Oklahoma City/Warr Acres,Oklahoma
2,73132,2,Oklahoma City/Warr Acres,Oklahoma
2,73134,1,Oklahoma City,Oklahoma
1,73135,14,Oklahoma City,Oklahoma
2,73135,2,Oklahoma City,Oklahoma
,73136,,Oklahoma City,Oklahoma
,73137,,Oklahoma City,Oklahoma
1,73139,7,Oklahoma City,Oklahoma/Cleveland
2,73139,2,Oklahoma City,Oklahoma/Cleveland
,73140,,Oklahoma City/Midwest City,Oklahoma
1,73141,1,Oklahoma City,Oklahoma
,73142,,Oklahoma City,Oklahoma
,73143,,Oklahoma City,Oklahoma
,73144,,Oklahoma City,Oklahoma
,73145,,Oklahoma City/Tinker Airforce Base,Oklahoma
,73146,,Oklahoma City,Oklahoma
,73147,,Oklahoma City,Oklahoma
,73148,,Oklahoma City,Oklahoma
1,73149,4,Oklahoma City,Oklahoma
2,73149,1,Oklahoma City,Oklahoma
,73150,,Oklahoma City,Oklahoma
,73151,,Oklahoma City,Oklahoma
,73152,,Oklahoma City,Oklahoma
,73153,,Oklahoma City/Moore,Oklahoma
,73154,,Oklahoma City,Oklahoma
,73155,,Oklahoma City,Oklahoma
,73156,,Oklahoma City,Oklahoma
,73157,,Oklahoma City,Oklahoma
1,73158,1,,
1,73159,8,Oklahoma City,Oklahoma
2,73159,1,Oklahoma City,Oklahoma
1,73160,4,Oklahoma City,Cleveland
2,73160,1,Oklahoma City,Cleveland
1,73162,1,Oklahoma City,Oklahoma
2,73162,2,Oklahoma City,Oklahoma
,73163,,Oklahoma City,Oklahoma
,73164,,Oklahoma City,Oklahoma
,73165,,Oklahoma City/Moore,Cleveland
,73167,,Oklahoma City,Oklahoma
,73169,,Oklahoma City,Oklahoma
1,73170,1,Oklahoma City/Moore,Cleveland
,73172,,Oklahoma City,Oklahoma
1,73173,1,Oklahoma City,Cleveland
,73178,,Oklahoma City,Oklahoma
2,73179,1,Oklahoma City,Oklahoma
,73184,,Oklahoma City,Oklahoma
,73185,,Oklahoma City,Oklahoma
,73189,,Oklahoma City,Oklahoma
,73190,,Oklahoma City,Oklahoma
,73193,,Oklahoma City,Oklahoma
,73194,,Oklahoma City,Oklahoma
,73195,,Oklahoma City,Oklahoma
,73196,,Oklahoma City,Oklahoma
,73197,,Oklahoma City,Oklahoma
,73198,,Oklahoma City,Oklahoma
,73199,,Oklahoma City,Oklahoma
1,74857,1,Newalla,Cleveland
